	index	Date	Day	IMDB	Place	Rating_x	Time	Title	Rating_y	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
79	47	2002-12-12	Thu			Unclassified 18+	20:30	Broken		109584.0	en	2012-08-22	0.0	0.0	91.0	['Drama']	Rufus Norris	
81	48	2002-12-12	Thu			Unclassified 18+	20:30	The Buoy Archives 11: Favourites										
83	49	2002-12-12	Thu			Unclassified 18+	20:30	Time Slice										
85	50	2002-12-12	Thu			Unclassified 18+	20:30	Dad's Clock										
87	51	2002-12-12	Thu			Unclassified 18+	20:30	Ectoplasmic Baby Fat Provider										
89	52	2002-12-12	Thu			Unclassified 18+	20:30	Purgatory		23356.0	en	1999-01-10	0.0	0.0	94.0	['Fantasy', 'Action', 'Western', 'Science Fiction']	Uli Edel	
91	53	2002-12-12	Thu			Unclassified 18+	20:30	Luv Your Life: Silverchair										
93	54	2002-12-12	Thu			Unclassified 18+	20:30	Big Can Can		193346.0	en	2013-07-03		0.0	100.0	['Documentary']	Olivia Mori	
95	55	2002-12-12	Thu			Unclassified 18+	19:00	Windows		83857.0	en	1980-01-18	0.0	0.0	96.0	['Horror', 'Drama', 'Thriller']	Gordon Willis	
97	56	2002-12-12	Thu			Unclassified 18+	19:00	Remind Me		158144.0	de	2002-05-31	0.0	0.0	90.0	['Thriller', 'Drama']	Christian Petzold	
99	57	2002-12-12	Thu			Unclassified 18+	19:00	Prelude		215067.0	es	2013-05-24	0.0	0.0	71.0	['Drama']	Eduardo Lucatero	
101	58	2002-12-12	Thu			Unclassified 18+	19:00	Untitled		364163.0	en	1975-01-01	0.0	0.0	6.0	[]	Juan José Mugni	
103	59	2002-12-12	Thu			Unclassified 18+	19:00	Spot		278446.0	es		0.0	0.0		[]	Cesar Espada	
105	60	2002-12-12	Thu			Unclassified 18+	19:00	Freestyle Disco										
107	61	2002-12-12	Thu			Unclassified 18+	19:00	North Star		200383.0	en	1996-01-03	0.0	0.0	90.0	['Action', 'Adventure', 'Drama', 'Western']	Nils Gaup	
109	62	2002-12-12	Thu			Unclassified 18+	19:00	Pulk/Pull Revolving Doors and like Spinning Plates										
111	63	2002-12-12	Thu			Unclassified 18+	19:00	Brazil Inspired										
113	64	2002-12-12	Thu			Unclassified 18+	19:00	Anamorph		14000.0	en	2007-09-21	0.0	0.0	107.0	['Crime', 'Thriller']	Henry Miller	
64	65	2002-12-13	Fri			Unclassified 18+	20:30	Karma:120 Techniques										
66	66	2002-12-13	Fri			Unclassified 18+	20:30	Amateur Developer's Handbook										
68	67	2002-12-13	Fri			Unclassified 18+	20:30	Curve		347754.0	en	2015-08-31	0.0	0.0	86.0	['Horror', 'Thriller']	Iain Softley	
70	68	2002-12-13	Fri			Unclassified 18+	20:30	World Watch/SBS ID										
72	69	2002-12-13	Fri			Unclassified 18+	20:30	Buckethead		188467.0	en		0.0	0.0	90.0	['Music']		
74	70	2002-12-13	Fri			Unclassified 18+	20:30	The Buoy Archives : Meditation										
76	71	2002-12-13	Fri			Unclassified 18+	20:30	Breaking it Slowly: George										
78	72	2002-12-13	Fri			Unclassified 18+	20:30	You and Me		146428.0	en	1971-10-25	0.0	0.0		[]	Larisa Shepitko	
80	73	2002-12-13	Fri			Unclassified 18+	20:30	Broken		109584.0	en	2012-08-22	0.0	0.0	91.0	['Drama']	Rufus Norris	
82	74	2002-12-13	Fri			Unclassified 18+	20:30	The Buoy Archives 11: Favourites										
84	75	2002-12-13	Fri			Unclassified 18+	20:30	Time Slice										
86	76	2002-12-13	Fri			Unclassified 18+	20:30	Dad's Clock										
88	77	2002-12-13	Fri			Unclassified 18+	20:30	Ectoplasmic Baby Fat Provider										
90	78	2002-12-13	Fri			Unclassified 18+	20:30	Purgatory		23356.0	en	1999-01-10	0.0	0.0	94.0	['Fantasy', 'Action', 'Western', 'Science Fiction']	Uli Edel	
92	79	2002-12-13	Fri			Unclassified 18+	20:30	Luv Your Life: Silverchair										
94	80	2002-12-13	Fri			Unclassified 18+	20:30	Big Can Can		193346.0	en	2013-07-03		0.0	100.0	['Documentary']	Olivia Mori	
